TOWN,ZIP_CODE,NO_BEDROOMS,BTH_DESC,SQUARE_FEET,YEAR_BUILT,GARAGE_SPACES_CC,SALE_PRICE
"Boston, MA",2114,2,2f 1h,2275,2021,1,4950000.00
"Boston, MA",2110,2,2f 0h,1258,2023,1,2475000.00
"Boston, MA",2116,3,2f 1h,2297,2023,2,10400000.00
"Boston, MA",2110,2,2f 0h,1379,2023,1,2825000.00
"Boston, MA",2210,2,2f 1h,1267,2020,2,2350000.00
"Boston, MA",2135,1,1f 0h,600,1930,0,477000.00
"Boston, MA",2199,2,2f 1h,1625,2007,1,1800000.00
"Boston, MA",2110,2,2f 0h,1379,2023,1,2900000.00
"Boston, MA",2113,2,1f 0h,714,1900,0,665000.00
"Boston, MA",2130,1,1f 0h,550,1970,0,343000.00
"Boston, MA",2116,0,1f 0h,563,2023,0,1259000.00
"Boston, MA",2115,2,2f 1h,2188,2016,1,6350000.00
"Boston, MA",2127,2,2f 0h,1341,2021,1,1200000.00
"Boston, MA",2118,2,2f 0h,1249,2018,1,1100000.00
"Boston, MA",2108,2,2f 0h,1385,1890,0,2600000.00
"Boston, MA",2116,1,1f 0h,653,1880,0,600000.00
"Boston, MA",2127,2,2f 0h,1054,1910,0,825000.00
"Boston, MA",2128,2,2f 1h,1080,2024,0,860000.00
"Boston, MA",2114,2,2f 1h,1738,2021,1,3100000.00
"Boston, MA",2215,2,2f 0h,1112,1910,0,1500000.00
"Boston, MA",2130,2,2f 0h,804,1905,0,660000.00
"Boston, MA",2128,3,2f 1h,2154,2024,1,1306000.00
"Boston, MA",2128,1,1f 0h,1064,1910,1,625000.00
"Boston, MA",2118,1,1f 0h,494,1890,0,556000.00
"Boston, MA",2127,3,3f 1h,2358,2024,2,1940000.00
"Boston, MA",2115,1,1f 0h,400,1976,0,473000.00
"Boston, MA",2129,2,2f 0h,775,1880,0,775000.00
"Boston, MA",2116,2,2f 1h,1752,2023,2,5375000.00
"Boston, MA",2129,2,2f 1h,1302,1986,2,1275000.00
"Boston, MA",2135,2,1f 0h,910,2019,1,760000.00
"Boston, MA",2128,2,2f 0h,1012,2021,1,664000.00
"Boston, MA",2129,1,1f 0h,500,1875,0,530000.00
"Boston, MA",2130,2,2f 1h,1659,2004,0,880000.00
"Boston, MA",2116,2,1f 0h,1095,1890,0,1131000.00
"Boston, MA",2111,2,1f 1h,812,1989,0,855000.00
"Boston, MA",2116,3,3f 1h,3525,1985,2,14000000.00
"Boston, MA",2130,3,1f 0h,1049,1900,0,675000.00
"Boston, MA",2111,1,1f 1h,803,2000,1,977000.00
"Boston, MA",2118,3,2f 1h,2270,1890,0,1980000.00
"Boston, MA",2128,3,2f 1h,1545,1923,0,635000.00
"Boston, MA",2109,2,1f 0h,819,1870,0,696000.00
"Boston, MA",2130,2,2f 0h,1124,1900,1,785000.00
"Boston, MA",2116,2,2f 1h,1292,2023,1,3490000.00
"Boston, MA",2114,2,2f 0h,1233,1899,1,1240000.00
"Boston, MA",2215,3,3f 1h,2548,2018,2,6275000.00
"Boston, MA",2108,3,2f 0h,1625,1899,0,2835000.00
"Boston, MA",2129,1,1f 0h,567,1899,0,497000.00
"Boston, MA",2114,1,1f 0h,917,1899,0,785000.00
"Boston, MA",2130,2,2f 0h,1009,2024,0,749000.00
"Boston, MA",2135,2,1f 1h,1100,1986,0,663000.00
"Boston, MA",2128,2,1f 0h,638,1910,0,550000.00
"Boston, MA",2114,1,1f 0h,693,1899,0,755000.00
